course,lab_name,hours
CSE,dependency-resolution-lab,5
CSE,process-monitoring-lab,6
CSE,system-logging-enhancement,6
CSE,process-prioritization,4
CSE,process-debugging,3
CSE,environment-tuning-lab,3
CSE,package-repository-management,3
CSE,environment-tuning-lab,6
CSE,kernel-configuration-lab,6
CSE,process-monitoring-lab,5
NET,packet-capture-analysis,3
NET,vpn-tunneling-lab,6
NET,bandwidth-optimization-lab,3
NET,tcp-ip-debugging-lab,3
NET,tcp-ip-debugging-lab,4
NET,lan-segmentation-practice,4
NET,network-performance-testing-lab,5
NET,bandwidth-optimization-lab,4
NET,tcp-ip-debugging-lab,6
NET,firewall-rule-analysis,4
DBA,partitioning-strategy-lab,3
DBA,query-optimization-practice,3
DBA,sql-performance-tuning,5
DBA,stored-procedure-practice,5
DBA,database-migration-lab,6
DBA,user-privilege-management,6
DBA,index-optimization-lab,5
DBA,backup-strategy-lab,6
DBA,database-monitoring-lab,6
DBA,database-migration-lab,5
SEC,log-forensics-analysis,6
SEC,threat-intelligence-practice,4
SEC,access-control-testing,4
SEC,patch-management-practice,3
SEC,security-automation-practice,4
SEC,user-hardening-practice,4
SEC,log-correlation-lab,3
SEC,penetration-testing-practice,5
SEC,privilege-escalation-testing,4
SEC,vulnerability-assessment-lab,3
CLD,container-management-lab,4
CLD,autoscaling-policy-lab,3
CLD,deployment-pipeline-lab,5
CLD,container-management-lab,4
CLD,resource-scaling-lab,5
CLD,cloud-performance-testing,5
CLD,serverless-architecture-lab,5
CLD,virtual-machine-deployment-practice,4
CLD,monitoring-and-alerting-lab,6
CLD,serverless-architecture-lab,4
AI,ml-algorithms-practice,5
AI,feature-engineering-practice,4
AI,ml-model-optimization-practice,5
AI,computer-vision-practice,6
AI,deep-learning-lab,4
AI,model-deployment-practice,5
AI,ai-ethics-lab,6
AI,data-preprocessing-lab,6
AI,feature-engineering-practice,4
AI,ml-algorithms-practice,6
AI,ml-algorithms-practice,6
AI,neural-network-architecture-lab,6
AI,computer-vision-practice,6
AI,feature-engineering-practice,3
AI,text-classification-nlp,6
AI,computer-vision-practice,3
WEB,deployment-pipeline-practice,3
WEB,performance-optimization-lab,4
WEB,web-testing-lab,6
WEB,web-testing-lab,5
WEB,rest-api-integration,5
WEB,performance-optimization-lab,3
WEB,api-security-lab,3
WEB,fullstack-project-lab,6
WEB,nodejs-project-lab,6
WEB,react-components-lab,6
WEB,performance-optimization-lab,4
WEB,fullstack-project-lab,4
WEB,web-penetration-testing,3
WEB,seo-optimization-lab,5
WEB,modern-web-architecture-lab,6
WEB,responsive-design-lab,5
CSE,shell-functions-lab,5
CSE,filesystem-performance-lab,4
CSE,system-resource-analysis,3
CSE,dependency-resolution-lab,3
CSE,log-analysis-practice,6
CSE,shell-functions-lab,6
CSE,hardware-monitoring-lab,6
CSE,package-automation-lab,3
CSE,system-troubleshooting-lab,4
CSE,kernel-configuration-lab,5
CSE,dependency-resolution-lab,5
CSE,process-debugging,3
CSE,package-automation-lab,4
CSE,shell-functions-lab,6
CSE,log-analysis-practice,3
CSE,automated-backup-scripts,4
CSE,process-prioritization,4
CSE,security-hardening-lab,3
CSE,advanced-shell-scripting,4
CSE,system-upgrade-practice,6
CSE,security-hardening-lab,5
CSE,system-performance-audit,3
CSE,system-troubleshooting-lab,4
CSE,automated-backup-scripts,4
CSE,system-upgrade-practice,4
NET,firewall-rule-analysis,5
NET,cloud-networking-lab,3
NET,dns-dhcp-setup-lab,6
NET,routing-security-lab,3
NET,network-monitoring-lab,6
NET,switching-setup-practice,4
NET,network-troubleshooting-scenarios,5
NET,wireless-site-survey-lab,4
NET,packet-sniffing-practice,4
NET,bandwidth-optimization-lab,4
NET,switching-setup-practice,6
NET,network-monitoring-lab,4
NET,lan-segmentation-practice,6
NET,switching-setup-practice,5
NET,vpn-tunneling-lab,3
NET,firewall-rule-analysis,6
NET,vpn-configuration-lab,3
NET,wan-configuration-lab,5
NET,network-simulation-lab,4
NET,vpn-configuration-lab,6
NET,wan-configuration-lab,3
NET,vpn-tunneling-lab,4
NET,packet-sniffing-practice,6
NET,firewall-policy-testing,3
NET,network-simulation-lab,5
DBA,data-consistency-lab,5
DBA,database-security-audit,6
DBA,database-security-audit,4
DBA,index-optimization-lab,6
DBA,join-optimization-lab,3
DBA,database-migration-lab,5
DBA,backup-strategy-lab,5
DBA,replication-monitoring-lab,3
DBA,index-optimization-lab,4
DBA,stored-function-lab,3
DBA,replication-performance-lab,4
DBA,data-warehouse-integration,4
DBA,user-privilege-management,3
DBA,audit-log-practice,6
DBA,replication-performance-lab,5
DBA,transaction-rollback-simulation,4
DBA,replication-performance-lab,6
DBA,data-warehouse-integration,5
DBA,user-privilege-management,5
DBA,table-optimization-lab,5
DBA,stored-procedure-practice,5
DBA,database-replication-setup,5
DBA,indexing-practice,4
DBA,disaster-recovery-testing,5
DBA,disaster-recovery-testing,5
SEC,system-hardening-lab,5
SEC,security-audit-lab,4
SEC,vulnerability-scanning-practice,3
SEC,vulnerability-scanning-practice,3
SEC,vulnerability-assessment-lab,4
SEC,security-audit-lab,4
SEC,access-control-testing,3
SEC,vulnerability-scanning-practice,4
SEC,penetration-testing-practice,3
SEC,log-forensics-analysis,5
SEC,incident-report-lab,6
SEC,incident-response-simulation,5
SEC,phishing-simulation-lab,4
SEC,network-security-audit,3
SEC,log-forensics-analysis,4
SEC,security-audit-lab,5
SEC,log-correlation-lab,6
